tileNumber,tumor_stroma_log_cd8_ratio,tumor_CD8_density,stromal_CD8_density,aSMA_stroma_area,stromal_CD3_density,tumor_CD3_density,tumor_stroma_log_cd3_ratio
315,NA,0,0,36.987,25.746,15.773,0.613
316,0.136,56.367,414.276,40.877,1118.545,126.825,0.113
317,0.052,9.652,184.236,44.303,652.503,9.652,0.015
318,0.076,25.916,339.051,53.374,1336.548,77.747,0.058
319,0.184,25.417,138.233,26.392,868.892,101.666,0.117
320,NA,NA,486.034,8.013,3714.988,NA,NA
321,0,0,41.158,14.982,576.209,24.352,0.042
322,0,0,353.037,30.215,2241.252,19.133,0.009
323,0,0,180.13,53.502,540.391,23.492,0.043
324,0.114,22.44,197.58,16.325,513.708,84.151,0.164
325,0,0,1065.014,29.809,3931.156,58.79,0.015
326,0,0,1476.473,15.510,4896.396,21.081,0.004
327,0.036,5.707,160.552,39.509,504.592,34.241,0.068
328,0,0,145.128,35.519,653.077,27.814,0.043
329,0,0,103.959,13.477,584.771,0,0
330,0,0,817.758,61.178,2234.436,8.014,0.004
331,0,0,510.307,31.521,2783.015,80.127,0.029
332,0,0,644.26,14.602,4454.597,26.51,0.006
333,NA,7.156,NA,17.532,NA,21.469,NA
334,NA,9.415,NA,14.338,NA,37.66,NA
335,NA,6.435,NA,8.384,NA,25.739,NA
336,0.023,14.094,610.963,70.194,1427.537,56.377,0.039
337,0,0,224.477,59.730,501.333,39.113,0.078
338,0.319,9.613,30.112,75.063,195.728,19.225,0.098
339,NA,0,14.429,75.193,101.002,0,0
340,0,0,263.464,49.238,1070.672,81.645,0.076
341,0.036,15.985,447.551,51.122,1566.429,207.807,0.133
342,0.064,45.261,711.742,25.035,3059.565,108.625,0.036
343,0,0,330.773,19.334,3222.8,244.363,0.076
344,NA,NA,165.24,53.316,1620.162,NA,NA
345,0.056,17.874,319.059,21.663,1808.003,17.874,0.01
346,0.174,59.949,344.089,35.876,2033.656,239.797,0.118
347,0.113,43.387,385.2,24.994,2805.639,108.469,0.039
348,NA,0,51.036,41.725,306.215,75.15,0.245
349,0,0,179.394,44.377,871.345,33.81,0.039
350,0.079,17.367,218.819,41.313,939.098,26.05,0.028
351,0.032,8.039,254.281,38.551,919.323,24.117,0.026
352,0.042,10.341,248.985,34.110,836.59,20.682,0.025
353,0,0,136.876,38.854,659.494,0,0
354,0,0,465.502,44.921,1817.673,50.538,0.028
355,NA,0,NA,0.000,NA,14.164,NA
356,0,0,1058.421,12.027,4673.985,68.549,0.015
357,NA,14.207,NA,1.520,NA,28.414,NA
358,0.04,20.086,503.482,33.296,2052.656,150.643,0.073
359,NA,NA,592.441,63.527,2545.895,NA,NA
360,0.426,24.75,58.102,67.626,222.724,24.75,0.111
361,NA,0,0,62.148,67.416,9.455,0.14
362,NA,17.864,0,76.931,81.254,35.728,0.44
363,NA,NA,0,69.668,290.909,NA,NA
364,0.152,141.474,932.812,24.951,3529.301,466.865,0.132
365,0.041,30.573,739.125,41.746,1863.88,40.764,0.022
366,0.749,408.009,544.738,27.953,2565.219,1965.861,0.766
367,NA,NA,53.623,48.070,668.225,NA,NA
368,0.031,8.823,284.195,38.607,1081.52,35.292,0.033
369,0.097,30.828,316.632,40.284,1538.978,71.931,0.047
370,0,0,344.647,28.716,3150.425,475.886,0.151
371,0,0,503.224,25.537,3837.081,201.044,0.052
372,0,0,154.394,22.502,771.968,13.273,0.017
373,0,0,714.094,38.345,3394.535,16.943,0.005
374,0,0,536.359,49.040,2213.544,0,0
375,0.445,27.705,62.201,57.679,379.428,41.557,0.11
376,0,0,120.722,45.873,678.341,0,0
377,0,0,136.129,43.764,748.71,53.114,0.071
378,NA,0,62.268,12.211,747.212,12.099,0.016
379,0.032,18.416,581.748,8.298,3108.443,64.457,0.021
380,0,0,73.642,15.832,687.329,25.119,0.037
381,0.023,6.877,296.413,31.750,2223.095,41.263,0.019
382,0,0,276.082,68.766,1181.269,110.695,0.094
383,0.076,5.822,76.561,69.253,172.263,40.757,0.237
384,0.302,505.063,1670.904,19.753,3846.09,1178.481,0.306
385,0.422,532.869,1263.586,6.396,5840.862,2797.563,0.479
386,0,0,231.548,43.223,1394.432,65.913,0.047
387,0.033,13.341,406.007,9.041,2684.884,80.045,0.03
388,0,0,368.317,55.808,1062.858,21.773,0.02
389,0.156,87.552,562.655,26.053,3644.169,237.641,0.065
390,0.156,114.49,735.845,23.014,4225.532,343.469,0.081
391,0,0,812.834,20.048,4534.404,49.232,0.011
392,0.014,11.98,861.104,14.847,2309.324,23.96,0.01
393,0.253,30.328,119.768,45.829,828.399,45.492,0.055
394,0,0,73.79,43.065,463.824,11.23,0.024
395,0.07,10.826,153.585,38.973,841.058,54.131,0.064
396,0.043,8.028,186.945,55.932,738.879,32.113,0.043
397,0,0,304.535,26.698,761.336,18.694,0.025
398,0.016,5.323,322.745,10.595,1742.824,15.97,0.009
399,NA,0,NA,4.085,NA,6.669,NA
400,NA,0,49.593,18.106,99.186,39.99,0.403
401,0.018,10.824,588.207,72.546,1467.138,64.942,0.044
402,NA,0,0,62.531,110.947,7.518,0.068
403,NA,NA,700.722,20.133,4797.254,NA,NA
404,0,0,609.159,23.281,2697.003,40.951,0.015
405,0.139,187.131,1341.917,38.886,3414.511,385.269,0.113
406,0.162,99.528,612.515,38.080,2290.274,199.055,0.087
407,0.069,40.167,581.717,19.375,1971.062,80.335,0.041
408,0.376,156.791,417.247,8.272,1690.202,365.847,0.216
409,0.493,273.952,555.978,27.123,3816.03,974.051,0.255
410,0.228,56.303,247.218,54.843,1402.487,84.454,0.06
411,0.279,19.788,70.878,45.428,484.334,26.385,0.054
412,0.034,7.766,230.389,45.961,1027.89,31.064,0.03
413,0.033,7.227,220.194,53.510,1100.97,7.227,0.007
414,0,0,739.545,45.525,1886.087,22.534,0.012
415,0.016,11.353,696.56,27.626,1332.55,22.706,0.017
416,NA,0,NA,NA,NA,13.674,NA
417,0,0,72.571,16.926,761.99,7.177,0.009
418,0,0,166.319,34.743,609.837,19.126,0.031
419,NA,NA,647.178,69.987,1644.74,NA,NA
420,NA,0,0,62.694,31.328,10.908,0.348
421,0.17,413.599,2434.503,19.797,6706.029,861.665,0.128
422,0.707,411.025,581.472,44.304,2057.904,904.256,0.439
423,0.458,545.529,1192.383,21.941,4214.043,1552.658,0.368
424,0.77,491.007,637.728,42.407,1745.361,883.813,0.506
425,0.236,273.506,1161.272,41.897,2874.697,683.765,0.238
426,0.011,13.21,1170.571,57.773,2619.298,13.21,0.005
427,0.057,42.26,744.08,57.606,1659.365,52.825,0.032
428,NA,6.413,12.089,34.659,229.682,32.065,0.14
429,0.021,7.483,359.17,36.676,1417.777,7.483,0.005
430,0.028,10.44,374.77,50.846,1390.973,20.879,0.015
431,0.065,24.885,381.333,49.791,1368.887,124.426,0.091
432,0,0,1125.873,20.397,2852.21,10.366,0.004
433,0.044,7.368,166.991,50.812,895.678,44.207,0.049
434,0,0,965.135,40.254,2679.974,0,0
435,0,0,206.863,66.362,506.603,0,0
436,NA,0,19.778,72.019,197.784,16.397,0.083
437,0.43,1016.459,2365.682,9.550,7419.639,2447.031,0.33
438,0.568,544.588,958.983,39.485,2318.173,914.907,0.395
439,0.504,518.758,1028.485,39.889,3279.863,1361.74,0.415
440,0.307,230.808,752.013,56.779,1675.914,384.68,0.23
441,NA,NA,1544.608,51.722,3277.341,NA,NA
442,0.091,118.742,1307.948,61.363,3250.391,158.323,0.049
443,0,0,385.456,53.847,1032.472,0,0
444,0,0,110.917,31.471,249.563,0,0
445,0,0,867.282,28.566,1915.248,0,0
446,0.179,88.515,494.985,36.615,1640.243,165.965,0.101
447,0.065,46.527,717.328,35.246,2950.519,162.845,0.055
448,0,0,589.566,20.563,3520.056,36.33,0.01
449,NA,NA,704.302,41.489,2945.263,NA,NA
450,NA,NA,49.015,57.925,196.062,NA,NA
451,0,0,140.226,66.711,545.324,0,0
