tileNumber,tumor_stroma_log_cd8_ratio,MYH11+aSMA+ scores,tumor_CD8_density,stromal_CD8_density,stromal_CD3_density,tumor_CD3_density,tumor_stroma_log_cd3_ratio
170,0.86,1.321928095,1149.746,1336.148,2926.164,2098.956,0.717
171,1.094,1,1770.709,1618.166,3142.07,2713.554,0.864
172,0.909,0.584962501,1076.228,1184.45,2046.813,1909.437,0.933
173,0.657,0.584962501,1118.765,1703.908,3184.685,2197.574,0.69
174,0.794,0.415037499,1841.169,2319.454,4856.523,2966.327,0.611
175,0.155,2.700439718,198.948,1285.109,3628.543,676.424,0.186
176,0.21,2.906890596,117.532,560.131,2314.504,381.978,0.165
177,0.145,2.662965013,94.63,653.06,2063.075,420.576,0.204
178,0.309,1.321928095,204.735,662.641,1949.509,313.927,0.161
179,0.154,2.807354922,111.768,725.91,1637.95,421.281,0.257
180,0.07,0.584962501,70.445,1000.451,1705.069,317.004,0.186
181,0.156,2,339.546,2180.157,3871.958,769.636,0.199
182,0.334,1.874469118,402.654,1205.942,3345.18,841.913,0.252
183,0.196,2.222392421,243.788,1243.582,3533.166,536.334,0.152
184,0.347,2.523561956,525.477,1516.036,4412.595,1313.692,0.298
185,0.312,2.459431619,211.697,679.461,2329.582,569.953,0.245
186,0.31,2.392317423,258.466,834.501,1995.129,605.781,0.304
187,0.385,2,496.248,1287.455,2716.388,882.219,0.325
188,0.067,0,162.019,2414.199,5665.321,291.635,0.051
189,0.107,2.321928095,244.384,2281.031,5756.52,625.623,0.109
190,0.27,3.247927513,266.411,987.372,2689.737,439.218,0.163
191,0.1,3.087462841,73.711,738.329,2439.124,309.585,0.127
192,0.312,3.321928095,274.662,881.683,1977.108,523.166,0.265
193,0.2,2.662965013,118.16,589.619,1347.701,689.264,0.511
194,0.289,3,372.364,1286.924,3378.177,1156.706,0.342
195,0.201,-0.584962501,234.849,1166.924,3297.83,697.837,0.212
196,0.276,2.485426827,194.802,706.651,2026.972,605.276,0.299
197,0.463,2.584962501,356.045,769.075,2403.361,1049.396,0.437
